bead_id,session_id,agent_id,reviewer_agent_id,commit_sha,orchestrator_dispatch_ts,first_subagent_tool_ts,commit_ts,commit_author_ts,reviewer_last_assistant_ts,spin_up_seconds,task_work_seconds,merge_seconds,reviewer_seconds,total_seconds,notes
hk-iuaed.6,801120b5-ad1a-4ad9-b0ea-5265e4518f67,a927ebabecba1159b,,dcd7f7e5d1a5eb4cf6dc4b292d86a5ea01562c4f,2026-05-15T20:07:54.486000+00:00,2026-05-15T20:07:57.929000+00:00,2026-05-15T20:23:40.600000+00:00,2026-05-15T13:23:40-07:00,,3.4,942.7,-0.6,,945.5,
hk-kqdpf.5,4c818416-adec-40a3-86f4-421919d8e1d3,a824a123e53d008c8,,f24ff5f933946fe6cc28296f8ac41dde9fc86e5b,2026-05-15T18:41:22.267000+00:00,2026-05-15T18:41:25.594000+00:00,2026-05-15T18:45:06.467000+00:00,2026-05-15T11:45:06-07:00,,3.3,220.9,-0.5,,223.7,
hk-qo08q,4c818416-adec-40a3-86f4-421919d8e1d3,a817eb21cc1446215,,76a55be161a5d0c071fd511c47c57f30688ac1ec,2026-05-15T18:51:46.771000+00:00,2026-05-15T18:51:50.487000+00:00,2026-05-15T18:53:31.350000+00:00,2026-05-15T11:53:31-07:00,,3.7,100.9,-0.3,,104.2,
hk-zixbp,4c818416-adec-40a3-86f4-421919d8e1d3,a77c0199ac27ae0be,,cc3da5c1b255fd5bd2c94e859d4d653ae6d1e5c6,2026-05-15T19:01:56.357000+00:00,2026-05-15T19:01:59.733000+00:00,2026-05-15T19:03:47.999000+00:00,2026-05-15T12:03:48-07:00,,3.4,108.3,0.0,,111.6,
hk-w5vra,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,aa13aec7a96694cd0,,a7a4523,2026-05-15T18:04:13.766000+00:00,2026-05-15T18:04:18.767000+00:00,2026-05-15T18:07:06.186000+00:00,,,5.0,167.4,,,172.4,sha_not_in_repo
hk-do7te,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,a614d71e3c5243bdd,,e19de6a22f6a516c4e5dad26c1ff88bce2b3aa6e,2026-05-15T18:04:18.774000+00:00,2026-05-15T18:04:22.204000+00:00,2026-05-15T18:10:23.286000+00:00,2026-05-15T11:10:23-07:00,,3.4,361.1,-0.3,,364.2,
hk-lj1p9,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,a0007389d129e0fc9,,10d4bf599b54562b52abb493888305290e586224,2026-05-15T18:04:51.996000+00:00,2026-05-15T18:04:57.622000+00:00,2026-05-15T18:05:13.826000+00:00,2026-05-15T11:05:13-07:00,,5.6,16.2,-0.8,,21.0,
hk-zs0.21,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,a47141b359857ca71,,a47141b359857ca71,2026-05-15T18:08:49.885000+00:00,2026-05-15T18:08:53.433000+00:00,2026-05-15T18:11:56.592000+00:00,,,3.5,183.2,,,186.7,sha_not_in_repo
hk-gql20.24,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,a375e1ed46593507b,,2f0885319ed458080fcb8ade5e8fc010fbf19da4,2026-05-15T18:09:11.451000+00:00,2026-05-15T18:09:15.166000+00:00,2026-05-15T18:19:13.856000+00:00,2026-05-15T11:19:13-07:00,,3.7,598.7,-0.9,,601.5,
hk-ahvq,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,a89ef3b944a6bcc5f,,3697cc0c9cb5e1a3dcdc93bf1c40dcf000bf1708,2026-05-15T18:10:28.101000+00:00,2026-05-15T18:10:32.013000+00:00,2026-05-15T18:12:39.527000+00:00,2026-05-15T11:12:39-07:00,,3.9,127.5,-0.5,,130.9,
hk-iuaed.5,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,a623812c947fcf17f,,bedd5a57b0bcfd4987ae53a25567e53c35710e0d,2026-05-15T18:15:23.039000+00:00,2026-05-15T18:15:26.237000+00:00,2026-05-15T18:19:24.502000+00:00,2026-05-15T11:18:33-07:00,,3.2,238.3,-51.5,,190.0,
hk-sx9r.24,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,ac24714dfaa1852af,,cca00f5a6a31878203cd398496dbe00b488b5e1b,2026-05-15T18:17:05.964000+00:00,2026-05-15T18:17:09.546000+00:00,2026-05-15T18:20:41.935000+00:00,2026-05-15T11:20:42-07:00,,3.6,212.4,0.1,,216.0,
hk-sx9r.27,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,ad7cf02ebe4cd5c34,,2af7dfaf25dd44f872c66d429ceddde7e484b318,2026-05-15T18:17:09.936000+00:00,2026-05-15T18:17:13.024000+00:00,2026-05-15T18:20:51.835000+00:00,2026-05-15T11:20:51-07:00,,3.1,218.8,-0.8,,221.1,
hk-sx9r.69,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,ab4532e59e240bb51,,ab4532e59e240bb51,2026-05-15T18:17:17.043000+00:00,2026-05-15T18:17:22.465000+00:00,2026-05-15T18:20:59.827000+00:00,,,5.4,217.4,,,222.8,sha_not_in_repo
hk-gql20,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,af7aa914bdf4ee1da,,a8b656854f17e5d61d2fcd551b54e71b8b711a33,2026-05-15T18:31:46.746000+00:00,2026-05-15T18:31:49.490000+00:00,2026-05-15T18:32:06.709000+00:00,2026-05-15T11:35:02-07:00,,2.7,17.2,175.3,,195.3,
hk-zs0.30,fed61a3d-3aa9-4c8a-91e7-0b1acb4ec1e8,ad006c704aeb0ce51,,a79c2a72e9ba97e11739bb97bdacbcf0d083d9d8,2026-05-15T18:31:54.322000+00:00,2026-05-15T18:31:57.128000+00:00,2026-05-15T18:33:53.185000+00:00,2026-05-15T11:33:53-07:00,,2.8,116.1,-0.2,,118.7,
hk-ftyvo,db8d1c56-2c60-4b55-83fe-c29ab3ff3eea,a23f5d37275a9cc55,,a23f5d37275a9cc55,2026-05-15T06:45:19.166000+00:00,2026-05-15T06:45:22.920000+00:00,2026-05-15T06:57:29.889000+00:00,,,3.8,727.0,,,730.7,sha_not_in_repo
